,EventName,EventDate,EventFormat,Session1,Session2,Session3,Session4,Session5
0,Australian Grand Prix,2018-03-25 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
1,Bahrain Grand Prix,2018-04-08 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
2,Chinese Grand Prix,2018-04-15 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
3,Azerbaijan Grand Prix,2018-04-29 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
4,Spanish Grand Prix,2018-05-13 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
5,Monaco Grand Prix,2018-05-27 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
6,Canadian Grand Prix,2018-06-10 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
7,French Grand Prix,2018-06-24 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
8,Austrian Grand Prix,2018-07-01 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
9,British Grand Prix,2018-07-08 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
10,German Grand Prix,2018-07-22 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
11,Hungarian Grand Prix,2018-07-29 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
12,Belgian Grand Prix,2018-08-26 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
13,Italian Grand Prix,2018-09-02 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
14,Singapore Grand Prix,2018-09-16 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
15,Russian Grand Prix,2018-09-30 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
16,Japanese Grand Prix,2018-10-07 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
17,United States Grand Prix,2018-10-21 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
18,Mexican Grand Prix,2018-10-28 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
19,Brazilian Grand Prix,2018-11-11 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
20,Abu Dhabi Grand Prix,2018-11-25 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
0,Australian Grand Prix,2019-03-17 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
1,Bahrain Grand Prix,2019-03-31 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
2,Chinese Grand Prix,2019-04-14 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
3,Azerbaijan Grand Prix,2019-04-28 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
4,Spanish Grand Prix,2019-05-12 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
5,Monaco Grand Prix,2019-05-26 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
6,Canadian Grand Prix,2019-06-09 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
7,French Grand Prix,2019-06-23 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
8,Austrian Grand Prix,2019-06-30 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
9,British Grand Prix,2019-07-14 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
10,German Grand Prix,2019-07-28 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
11,Hungarian Grand Prix,2019-08-04 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
12,Belgian Grand Prix,2019-09-01 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
13,Italian Grand Prix,2019-09-08 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
14,Singapore Grand Prix,2019-09-22 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
15,Russian Grand Prix,2019-09-29 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
16,Japanese Grand Prix,2019-10-13 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
17,Mexican Grand Prix,2019-10-27 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
18,United States Grand Prix,2019-11-03 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
19,Brazilian Grand Prix,2019-11-17 00:00:00,conventional,Practice 1,Practice 2,Practice 3,Qualifying,Race
