,DriverNumber,LapTimeFP1,Sector1TimeFP1,Sector2TimeFP1,Sector3TimeFP1,CompoundFP1,AirTempFP1,RainfallFP1,TrackTempFP1,WindDirectionFP1,WindSpeedFP1,LapTimeFP2,Sector1TimeFP2,Sector2TimeFP2,Sector3TimeFP2,CompoundFP2,AirTempFP2,RainfallFP2,TrackTempFP2,WindDirectionFP2,WindSpeedFP2,LapTimeFP3,Sector1TimeFP3,Sector2TimeFP3,Sector3TimeFP3,CompoundFP3,AirTempFP3,RainfallFP3,TrackTempFP3,WindDirectionFP3,WindSpeedFP3,LapTimeQ,Sector1TimeQ,Sector2TimeQ,Sector3TimeQ,CompoundQ,AirTempQ,RainfallQ,TrackTempQ,WindDirectionQ,WindSpeedQ,event_name,year,event_type
0,10,86.494,28.639,23.343,34.512,SUPERSOFT,27.2,False,43.9,283.0,2.4,85.945,28.142,23.117,34.686,ULTRASOFT,30.1,False,42.7,298.0,0.5,94.99,31.187,25.521,38.282,INTERMEDIATE,20.0,False,25.2,351.0,0.8,85.295,28.146,23.144,34.005,ULTRASOFT,24.9,False,32.4,203.0,0.7,Australian Grand Prix,2018,conventional
1,11,86.767,28.731,23.505,34.531,SUPERSOFT,27.1,False,44.0,312.0,0.8,85.413,28.075,23.136,34.202,ULTRASOFT,29.1,False,42.5,0.0,1.8,,,,,,,,,,,84.005,27.618,22.869,33.518,ULTRASOFT,24.9,False,29.9,325.0,0.4,Australian Grand Prix,2018,conventional
2,14,85.896,28.485,23.312,34.099,SUPERSOFT,27.0,False,44.4,309.0,2.0,85.2,,23.068,33.847,ULTRASOFT,29.5,False,42.5,180.0,0.9,94.298,31.144,25.268,37.886,INTERMEDIATE,20.2,False,24.8,216.0,0.7,83.597,27.581,22.7,33.316,ULTRASOFT,24.9,False,31.0,5.0,1.0,Australian Grand Prix,2018,conventional
3,16,88.853,29.384,24.05,35.419,ULTRASOFT,28.2,False,43.8,0.0,0.5,86.815,28.672,23.232,34.911,ULTRASOFT,30.1,False,42.7,331.0,0.6,96.448,31.969,25.591,38.888,INTERMEDIATE,20.2,False,26.2,0.0,0.7,84.636,28.153,22.901,33.582,ULTRASOFT,24.9,False,31.0,5.0,1.0,Australian Grand Prix,2018,conventional
4,18,86.636,28.452,23.62,34.564,ULTRASOFT,27.4,False,43.7,313.0,2.0,85.543,28.178,23.13,34.235,ULTRASOFT,29.1,False,41.3,288.0,1.3,95.828,31.378,25.605,38.845,INTERMEDIATE,19.9,False,25.7,295.0,1.0,84.23,27.802,22.771,33.657,ULTRASOFT,24.9,False,31.0,177.0,0.9,Australian Grand Prix,2018,conventional
5,2,86.482,28.723,23.47,34.289,SOFT,28.6,False,43.9,198.0,0.6,85.285,28.123,23.254,33.908,ULTRASOFT,29.1,False,41.3,288.0,1.3,94.233,30.878,25.279,38.076,INTERMEDIATE,19.8,False,25.5,0.0,1.1,83.853,27.567,22.784,33.502,ULTRASOFT,24.9,False,29.9,325.0,0.4,Australian Grand Prix,2018,conventional
6,20,87.035,29.115,23.479,34.441,ULTRASOFT,27.5,False,44.8,335.0,0.9,85.246,28.077,23.165,34.004,ULTRASOFT,29.1,False,41.5,339.0,1.8,96.807,32.106,26.115,38.586,INTERMEDIATE,20.5,False,25.3,179.0,0.4,83.187,27.49,22.632,33.065,ULTRASOFT,24.4,False,28.9,252.0,0.5,Australian Grand Prix,2018,conventional
7,27,86.583,28.619,23.644,34.32,SUPERSOFT,27.0,False,43.9,320.0,2.8,85.471,,,34.013,ULTRASOFT,29.5,False,42.5,180.0,0.9,98.482,32.67,26.296,39.516,INTERMEDIATE,19.8,False,24.5,306.0,0.5,83.532,27.544,22.653,33.335,ULTRASOFT,24.4,False,28.9,252.0,0.5,Australian Grand Prix,2018,conventional
8,28,87.745,28.951,23.484,35.31,SUPERSOFT,28.9,False,44.2,328.0,0.7,85.925,28.164,23.148,34.613,ULTRASOFT,30.1,False,42.7,331.0,0.6,95.438,31.316,25.559,38.563,INTERMEDIATE,20.0,False,25.1,0.0,0.5,84.532,27.993,22.942,33.597,ULTRASOFT,24.9,False,31.0,5.0,1.0,Australian Grand Prix,2018,conventional
9,3,85.063,28.235,23.122,33.706,ULTRASOFT,26.9,False,41.8,317.0,1.3,84.721,28.26,22.902,33.559,SOFT,28.9,False,43.0,210.0,0.7,94.043,31.031,25.112,37.9,INTERMEDIATE,20.4,False,27.0,212.0,0.7,82.152,27.24,22.448,32.464,ULTRASOFT,24.4,False,28.9,252.0,0.5,Australian Grand Prix,2018,conventional
10,31,86.605,28.672,23.527,34.406,SUPERSOFT,27.1,False,44.0,312.0,0.8,85.888,28.4,23.36,34.128,ULTRASOFT,29.4,False,42.5,333.0,1.4,,,,,,,,,,,84.503,27.865,22.938,33.7,ULTRASOFT,24.8,False,31.3,174.0,0.9,Australian Grand Prix,2018,conventional
11,33,84.771,28.12,23.048,33.603,SUPERSOFT,27.3,False,43.7,323.0,1.0,84.058,27.906,22.782,33.37,ULTRASOFT,29.5,False,42.5,180.0,0.9,91.68,30.049,24.535,37.096,INTERMEDIATE,20.2,False,26.2,0.0,0.7,81.879,26.971,22.241,32.667,ULTRASOFT,24.3,False,28.8,166.0,0.7,Australian Grand Prix,2018,conventional
12,35,86.536,28.544,23.456,34.536,ULTRASOFT,27.0,False,44.2,358.0,1.8,85.974,28.308,23.358,34.308,ULTRASOFT,29.3,False,42.4,310.0,1.9,95.589,31.687,25.439,38.463,INTERMEDIATE,20.2,False,26.0,320.0,0.8,84.922,27.964,23.338,33.62,ULTRASOFT,24.8,False,31.2,301.0,0.6,Australian Grand Prix,2018,conventional
13,44,84.026,27.72,22.794,33.512,ULTRASOFT,27.0,False,43.9,330.0,1.9,83.931,27.595,22.946,33.39,ULTRASOFT,30.0,False,43.0,0.0,0.6,94.225,30.848,25.401,37.976,INTERMEDIATE,20.4,False,25.4,0.0,0.4,81.164,26.698,22.066,32.4,ULTRASOFT,24.3,False,28.8,166.0,0.7,Australian Grand Prix,2018,conventional
