LapTimeFP1,Sector1TimeFP1,Sector2TimeFP1,Sector3TimeFP1,CompoundFP1,AirTempFP1,RainfallFP1,TrackTempFP1,WindDirectionFP1,WindSpeedFP1,LapTimeFP2,Sector1TimeFP2,Sector2TimeFP2,Sector3TimeFP2,CompoundFP2,AirTempFP2,RainfallFP2,TrackTempFP2,WindDirectionFP2,WindSpeedFP2,LapTimeFP3,Sector1TimeFP3,Sector2TimeFP3,Sector3TimeFP3,CompoundFP3,AirTempFP3,RainfallFP3,TrackTempFP3,WindDirectionFP3,WindSpeedFP3,LapTimeQ,is_sprint,traction,tyre_stress,asphalt_grip,braking,asphalt_abrasion,lateral,track_evolution,downforce
87.707,28.013,35.594,24.1,1.0,28.2,0.0,41.6,188.0,1.8,87.128,27.931,35.146,24.051,1.0,30.2,0.0,38.3,217.0,2.9,87.659,28.141,35.562,23.956,1.0,24.9,0.0,37.0,9.0,2.6,86.523,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
87.062,27.775,35.262,24.025,1.0,27.4,0.0,40.8,231.0,2.1,86.812,27.624,35.088,24.1,1.0,30.3,0.0,38.7,209.0,2.0,87.328,27.842,35.372,24.114,1.0,25.0,0.0,38.3,10.0,2.8,86.614,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
87.539,27.776,35.612,24.151,1.0,28.0,0.0,41.6,204.0,2.1,86.501,27.699,35.023,23.779,2.0,30.2,0.0,38.8,218.0,1.6,87.263,28.041,35.326,23.896,1.0,25.1,0.0,38.0,18.0,3.0,86.428,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
89.319,28.28,36.429,24.61,1.0,26.1,0.0,36.7,214.0,2.7,87.582,27.908,35.455,24.219,1.0,30.2,0.0,38.3,217.0,2.9,88.763,28.075,36.279,24.409,1.0,25.3,0.0,39.3,17.0,3.7,88.236,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
87.28,27.984,35.238,24.058,1.0,27.3,0.0,41.0,205.0,2.1,86.96,27.978,35.053,23.929,1.0,29.7,0.0,36.8,176.0,1.0,87.474,28.068,35.324,24.082,1.0,25.6,0.0,38.6,13.0,1.8,86.642,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
87.653,27.923,35.512,24.218,1.0,28.2,0.0,41.6,188.0,1.8,87.002,27.849,35.182,23.971,1.0,30.1,0.0,37.9,213.0,2.7,87.754,28.079,35.628,24.047,1.0,24.9,0.0,38.4,16.0,2.7,87.882,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
86.942,27.659,35.365,23.918,1.0,27.8,0.0,41.8,222.0,1.9,86.746,27.621,35.038,24.087,2.0,30.2,0.0,38.8,224.0,1.9,87.256,27.846,35.453,23.957,1.0,24.9,0.0,37.6,10.0,1.8,86.082,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
88.511,28.033,36.066,24.412,1.0,27.1,0.0,40.0,270.0,0.6,86.421,27.692,35.063,23.666,1.0,29.8,0.0,37.1,227.0,1.2,87.815,27.98,35.803,24.032,1.0,25.2,0.0,39.3,27.0,3.7,86.297,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
87.701,27.94,35.562,24.199,1.0,27.3,0.0,41.0,205.0,2.1,86.928,27.937,35.083,23.908,1.0,30.2,0.0,38.0,216.0,2.3,87.496,28.019,35.357,24.12,1.0,24.9,0.0,37.8,9.0,3.1,87.011,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
86.893,27.685,35.226,23.982,1.0,28.0,0.0,41.6,204.0,2.1,86.437,27.74,34.856,23.841,1.0,29.8,0.0,37.1,221.0,1.7,87.455,27.976,35.49,23.989,1.0,25.0,0.0,38.8,29.0,3.6,86.176,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
87.846,28.076,35.461,24.309,1.0,27.9,0.0,41.8,211.0,2.1,86.867,27.894,34.983,23.99,1.0,30.0,0.0,37.4,221.0,2.1,87.202,27.911,35.445,23.846,2.0,25.2,0.0,38.1,26.0,3.2,86.778,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
86.304,27.679,34.811,23.814,1.0,27.3,0.0,40.5,13.0,0.8,85.606,27.603,34.533,23.47,2.0,30.2,0.0,38.0,210.0,3.0,86.621,28.011,34.891,23.719,1.0,25.1,0.0,38.6,9.0,2.1,85.217,0.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,4.0
